,Unnamed: 0,UserID,created_at,Longitude,Latitude,Location,New_Long,New_Lat,New_Loc,Old Region,New Region,Old_Region_Long,Old_Region_Lat,New_Region_Long,New_Region_Lat,Year,Month,Day,Hour,Minute,Second
19356,20388,193799185,2015-04-05 00:48:30,-74.03061109999999,4.7649115,Cali Valle del Cauca COL,-73.50919,6.70445,Bogota Bogota COL,969.0,211,-74.22253303502151,4.282038647965294,-73.55924442713857,6.671021330270237,2015,04,05,00,48,30
20174,21255,162935464,2015-04-05 00:05:29,-75.69040559999999,4.5294365,Bogota Bogota COL,-75.1746017,4.447725599999999,Manizales Caldas COL,287.0,113,-75.71888712424135,4.488297554888304,-75.2436355128686,4.478220611342182,2015,04,05,00,05,29
20914,22038,2216535236,2015-04-05 00:02:32,-74.26216529999999,4.7283308,Girardot Cundinamarca COL,-74.1638782,4.6239907,Bogota Bogota COL,598.0,969,-74.25154846204184,4.772097812663958,-74.22253303502151,4.282038647965294,2015,04,05,00,02,32
23636,24886,2460660427,2015-04-05 00:22:34,-75.4570858,5.0302685,Medellin Antioquia COL,-74.10863309999999,4.6994352,Medellin Antioquia COL,773.0,969,-75.50286825151855,5.0741009147754434,-74.22253303502151,4.282038647965294,2015,04,05,00,22,34
20920,22044,240752502,2015-04-05 00:23:43,-75.2122783,9.426152,Bogota Bogota COL,-74.12828940000001,4.6628492999999995,Pamplona Norte de Santander COL,171.0,969,-75.20059812900044,9.419444842905222,-74.22253303502151,4.282038647965294,2015,04,05,00,23,43
23652,24902,972439398,2015-04-05 00:10:30,-74.3626077,4.346684,Cucuta Norte de Santander COL,-74.0283107,4.7527385,Sogamoso Boyaca COL,574.0,969,-74.41207813030144,4.3249012638822535,-74.22253303502151,4.282038647965294,2015,04,05,00,10,30
23655,24906,604754529,2015-04-05 00:48:49,-73.26167,6.46972,Ibague Tolima COL,-76.4810086,3.4937736000000004,Bogota Bogota COL,263.0,97,-73.24772055910648,6.465994864171705,-76.22147025944486,3.5832152427392994,2015,04,05,00,48,49
22119,23300,1568445235,2015-04-05 00:35:05,-74.2212194,4.7635396,Bucaramanga Santander COL,-73.8337361,7.0630318,Ibague Tolima COL,572.0,192,-74.19732349798099,4.746813138165834,-73.81662468288279,7.025813343710894,2015,04,05,00,35,05
22118,23299,2466715982,2015-04-05 00:46:25,-73.3495911,8.2342919,Bogota Bogota COL,-74.15316259999999,4.6258168,Bogota Bogota COL,323.0,969,-73.39009153569576,8.211895734150858,-74.22253303502151,4.282038647965294,2015,04,05,00,46,25
23672,24924,220834321,2015-04-05 00:40:38,-74.0500113,4.6853939,Bogota COL,-74.05692859999999,4.7370051,Ibague Tolima COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,05,00,40,38
23674,24926,2892819838,2015-04-05 00:18:21,-74.14696040000001,4.640368700000001,Bucaramanga Santander COL,-74.8183587,4.30043038,Bogota Bogota COL,969.0,579,-74.22253303502151,4.282038647965294,-74.81659207461449,4.35003584377921,2015,04,05,00,18,21
23687,24939,2892819838,2015-04-05 00:04:47,-74.146977,4.6403869,Girardot Cundinamarca COL,-74.1061354,4.757023,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,05,00,04,47
22109,23289,1660826864,2015-04-05 00:39:13,-74.05406529,4.67296694,Bogota Bogota COL,-74.1257635,4.6086222,Florencia Caqueta COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,05,00,39,13
22099,23279,177665567,2015-04-05 00:37:02,-74.14865019999999,4.604882099999999,Neiva Huila COL,-75.7821483,5.238393599999999,Bogota COL,969.0,775,-74.22253303502151,4.282038647965294,-75.75021233807891,5.2002703448006,2015,04,05,00,37,02
23718,24973,273762798,2015-04-05 00:23:10,-75.6436028,6.187131099999999,Medellin Antioquia COL,-74.13328809999999,4.6214306,Barrancabermeja Santander COL,993.0,969,-75.5963807304863,6.268681718686395,-74.22253303502151,4.282038647965294,2015,04,05,00,23,10
20137,21214,918026568,2015-04-05 00:45:03,-74.2285179,4.714752900000001,Pasto Narino COL,-74.1162245,4.525053099999999,Bogota Bogota COL,601.0,969,-74.22939735785175,4.677094242905014,-74.22253303502151,4.282038647965294,2015,04,05,00,45,03
23722,24977,231062632,2015-04-05 00:56:35,-75.53611,6.29139,Villavicencio Meta COL,-74.0759078,4.584641599999999,Monteria Cordoba COL,993.0,969,-75.5963807304863,6.268681718686395,-74.22253303502151,4.282038647965294,2015,04,05,00,56,35
20135,21212,139567150,2015-04-05 00:28:51,-73.96877309999999,4.7210645,Bogota Bogota COL,-74.10679578,4.68781301,Norte de Santander COL,591.0,969,-73.91173045294799,4.706659293741467,-74.22253303502151,4.282038647965294,2015,04,05,00,28,51
20130,21207,1947766958,2015-04-05 00:53:26,-74.1261642,4.6060088,Bogota Bogota COL,-74.158592,4.6531838,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,05,00,53,26
22093,23271,408034086,2015-04-05 00:35:33,-73.93611769,4.91313875,Pereira Risaralda COL,-74.137185,4.5905757000000005,Neiva Huila COL,631.0,969,-73.96315800788571,4.8930401711670015,-74.22253303502151,4.282038647965294,2015,04,05,00,35,33
20127,21204,2718356461,2015-04-05 00:20:47,-75.23898740000001,4.4322529,Valle del Cauca COL,-75.65416,6.1865349,Villavicencio Meta COL,113.0,993,-75.2436355128686,4.478220611342182,-75.5963807304863,6.268681718686395,2015,04,05,00,20,47
23751,25007,2551371888,2015-04-05 00:42:21,-74.14123719999999,4.6189386,Florencia Caqueta COL,-72.4860369,7.901121300000001,Magangue Bolivar COL,969.0,299,-74.22253303502151,4.282038647965294,-72.4771775980177,8.077703944981124,2015,04,05,00,42,21
22141,23324,328879977,2015-04-05 00:49:43,-74.1777391,4.6283487999999995,Bogota Bogota COL,-75.5187873,5.0620329,Bogota Bogota COL,969.0,773,-74.22253303502151,4.282038647965294,-75.50286825151855,5.0741009147754434,2015,04,05,00,49,43
23765,25022,2244474247,2015-04-05 00:21:09,-75.6990416,4.8284781,Norte de Santander COL,-75.18978790000001,4.435221599999999,Bogota Bogota COL,277.0,113,-75.6725524529833,4.840545087685683,-75.2436355128686,4.478220611342182,2015,04,05,00,21,09
23593,24842,2977130326,2015-04-05 00:05:02,-75.7018078,4.8156152,Antioquia COL,-74.09546689,4.57696983,Bogota Bogota COL,273.0,969,-75.65507420680916,4.784885575908646,-74.22253303502151,4.282038647965294,2015,04,05,00,05,02
23560,24809,129568643,2015-04-05 00:08:55,-75.60991713,9.46336226,Bogota Bogota COL,-75.2407242,4.4293241,Bogota Bogota COL,165.0,113,-75.65503594020645,9.405694620260563,-75.2436355128686,4.478220611342182,2015,04,05,00,08,55
