,Unnamed: 0,UserID,created_at,Longitude,Latitude,Location,New_Long,New_Lat,New_Loc,Old Region,New Region,Old_Region_Long,Old_Region_Lat,New_Region_Long,New_Region_Lat,Year,Month,Day,Hour,Minute,Second
30997,32650,196777447,2015-04-06 00:24:14,-74.0607397,4.7374602999999995,Medellin Antioquia COL,-73.3405116,5.5764224,Bogota Bogota COL,969.0,800,-74.22253303502151,4.282038647965294,-73.37608770738173,5.517318046690576,2015,04,06,00,24,14
31187,32848,1700455130,2015-04-06 00:23:58,-73.1059827,7.0789789999999995,Pereira Risaralda COL,-74.08999320000001,4.5964769,Pamplona Norte de Santander COL,218.0,969,-73.06827337011991,7.08294837631658,-74.22253303502151,4.282038647965294,2015,04,06,00,23,58
30324,31935,3009559875,2015-04-06 00:50:38,-76.3005527,3.9149626000000004,Bogota Bogota COL,-75.73814890000001,4.9321792,Girardot Cundinamarca COL,78.0,281,-76.10263633854615,3.8559371479310585,-75.75111244928006,4.958269949798421,2015,04,06,00,50,38
30322,31933,69675939,2015-04-06 00:56:54,-74.1130491,4.7264523,Bogota Bogota COL,-74.13273690000001,4.6852208,Villavicencio Meta COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,56,54
26800,28221,464873274,2015-04-06 00:38:32,-74.23509,4.7094419,Bogota Bogota COL,-75.6814628,4.540268599999999,Bogota Bogota COL,601.0,287,-74.22939735785175,4.677094242905014,-75.71888712424135,4.488297554888304,2015,04,06,00,38,32
28648,30165,298910126,2015-04-06 00:06:24,-74.1333276,4.6215687999999995,Armenia Quindio COL,-74.20197390000001,4.5859073,Bogota Bogota COL,969.0,630,-74.22253303502151,4.282038647965294,-74.23992739288482,4.507788126321032,2015,04,06,00,06,24
30315,31926,2355199483,2015-04-06 00:33:43,-72.9383163,5.7144262,Sogamoso Boyaca COL,-75.6400745,6.184481400000001,Bogota Bogota COL,897.0,993,-72.86979636386104,5.675548653897322,-75.5963807304863,6.268681718686395,2015,04,06,00,33,43
31216,32878,1358382307,2015-04-06 00:15:22,-73.35873790000001,5.533348200000001,Bogota Bogota COL,-74.08361499,4.53394428,Bogota Bogota COL,800.0,969,-73.37608770738173,5.517318046690576,-74.22253303502151,4.282038647965294,2015,04,06,00,15,22
26789,28210,284000305,2015-04-06 00:15:15,-74.1821246,4.615997,Bogota Bogota COL,-74.12104090000001,4.6327764,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,15,15
30310,31921,182832140,2015-04-06 00:17:40,-76.29605749999999,3.9018629000000002,Turbo Antioquia COL,-74.21932109999999,4.7100849,Bogota Bogota COL,78.0,601,-76.10263633854615,3.8559371479310585,-74.22939735785175,4.677094242905014,2015,04,06,00,17,40
26783,28204,2844190021,2015-04-06 00:53:51,-74.11246340000001,4.5260739,Medellin Antioquia COL,-75.6580116,6.1827883,Armenia Quindio COL,969.0,993,-74.22253303502151,4.282038647965294,-75.5963807304863,6.268681718686395,2015,04,06,00,53,51
30308,31919,61278554,2015-04-06 00:59:59,-75.331618,6.4371933,Medellin Antioquia COL,-75.18777659999999,4.4293913,Bogota Bogota COL,1009.0,113,-75.33475366110254,6.436693844845109,-75.2436355128686,4.478220611342182,2015,04,06,00,59,59
30307,31918,563354277,2015-04-06 00:14:06,-74.2020282,4.6049279,Bucaramanga Santander COL,-74.1017916,4.748315,Bucaramanga Santander COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,14,06
29434,30988,2157729691,2015-04-06 00:30:26,-74.079301,4.6508391,Antioquia COL,-74.11624559999998,4.6159238,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,30,26
30306,31917,302066812,2015-04-06 00:36:07,-74.15910854,4.57875096,Meta COL,-75.1953013,4.4347733,Ibague Tolima COL,969.0,113,-74.22253303502151,4.282038647965294,-75.2436355128686,4.478220611342182,2015,04,06,00,36,07
31240,32904,392367178,2015-04-06 00:19:54,-74.20628459999999,4.6368323,Bogota Bogota COL,-73.12634759999999,7.1004002999999996,Bogota Bogota COL,969.0,186,-74.22253303502151,4.282038647965294,-73.10826300553325,7.164240043543232,2015,04,06,00,19,54
31243,32908,1861062565,2015-04-06 00:57:23,-74.11726389,4.59407808,Bogota Bogota COL,-74.16581070000001,4.5890825,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,57,23
30289,31900,2682292018,2015-04-06 00:47:10,-74.0807552,4.6537485,Bogota Bogota COL,-74.05502840000001,4.6793656,Medellin Antioquia COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,47,10
30280,31891,411075014,2015-04-06 00:40:23,-75.68732173,4.80179922,Cali Valle del Cauca COL,-75.67377809999999,4.827340400000001,Ibague Tolima COL,273.0,277,-75.65507420680916,4.784885575908646,-75.6725524529833,4.840545087685683,2015,04,06,00,40,23
31247,32912,1662945456,2015-04-06 00:34:55,-74.1996723,4.5829272,Bogota Bogota COL,-75.48807179,5.06615069,Bogota Bogota COL,630.0,773,-74.23992739288482,4.507788126321032,-75.50286825151855,5.0741009147754434,2015,04,06,00,34,55
26739,28160,1055835012,2015-04-06 00:33:54,-74.04278286,4.76448412,Antioquia COL,-74.09303759999999,4.6799795,Villavicencio Meta COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,33,54
30279,31890,300915833,2015-04-06 00:10:38,-74.09303759999999,4.6799795,Villavicencio Meta COL,-74.174195,4.6071862,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,10,38
28426,29930,104991898,2015-04-06 00:26:44,-74.10972359,4.58077982,Barrancabermeja Santander COL,-74.16426340000001,4.6173328,Ocana Norte de Santander COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,26,44
29728,31299,295735768,2015-04-06 00:23:42,-74.12069759999999,4.7067418,Manizales Caldas COL,-75.6057483,1.6076653,Bogota Bogota COL,969.0,757,-74.22253303502151,4.282038647965294,-75.61563398072359,1.7275922717659569,2015,04,06,00,23,42
27637,29106,295735768,2015-04-06 00:13:36,-74.1206463,4.706793,Bogota Bogota COL,-75.73348109999999,4.8026468,Bogota Bogota COL,969.0,273,-74.22253303502151,4.282038647965294,-75.65507420680916,4.784885575908646,2015,04,06,00,13,36
26708,28129,551307985,2015-04-06 00:28:12,-74.2038457,4.711892,Cali Valle del Cauca COL,-74.2040194,4.590347,Bogota Bogota COL,572.0,630,-74.19732349798099,4.746813138165834,-74.23992739288482,4.507788126321032,2015,04,06,00,28,12
31277,32943,89025905,2015-04-06 00:57:51,-74.12889794,4.67123513,Sogamoso Boyaca COL,-74.1340967,4.6649779,Medellin Antioquia COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,06,00,57,51
31234,32898,341232988,2015-04-06 00:14:42,-74.24386120000001,4.7212837,Ibague Tolima COL,-75.2222261,4.4350496,Bogota COL,601.0,113,-74.22939735785175,4.677094242905014,-75.2436355128686,4.478220611342182,2015,04,06,00,14,42
26830,28253,1703105383,2015-04-06 00:33:29,-75.66324809999999,4.8439769,Bogota Bogota COL,-76.3058763,3.8923623,Bogota Bogota COL,277.0,78,-75.6725524529833,4.840545087685683,-76.10263633854615,3.8559371479310585,2015,04,06,00,33,29
30339,31950,56718948,2015-04-06 00:27:23,-74.0580494,4.704198,Antioquia COL,-75.49019679999999,5.0849991999999995,Bogota Bogota COL,969.0,773,-74.22253303502151,4.282038647965294,-75.50286825151855,5.0741009147754434,2015,04,06,00,27,23
28637,30154,205347208,2015-04-06 00:36:03,-73.99915069,4.89691705,Bogota Bogota COL,-73.8502851,7.044190700000001,Bogota Bogota COL,559.0,192,-74.03792257376774,4.867603154212247,-73.81662468288279,7.025813343710894,2015,04,06,00,36,03
29245,30790,202844273,2015-04-06 00:05:20,-74.04319516,4.87878758,Bogota Bogota COL,-74.14836109999999,4.691755400000001,Armenia Quindio COL,559.0,969,-74.03792257376774,4.867603154212247,-74.22253303502151,4.282038647965294,2015,04,06,00,05,20
27525,28987,2232453288,2015-04-06 00:57:02,-74.1971929,4.603741599999999,Bogota Bogota COL,-74.1990428,4.5791916,Bogota COL,969.0,630,-74.22253303502151,4.282038647965294,-74.23992739288482,4.507788126321032,2015,04,06,00,57,02
