,Unnamed: 0,UserID,created_at,Longitude,Latitude,Location,New_Long,New_Lat,New_Loc,Old Region,New Region,Old_Region_Long,Old_Region_Lat,New_Region_Long,New_Region_Lat,Year,Month,Day,Hour,Minute,Second
16456,17336,380633965,2015-04-04 00:53:26,-76.30906759999999,3.9112171,Pereira Risaralda COL,-74.6458646,4.205064,Bogota Bogota COL,78.0,139,-76.10263633854615,3.8559371479310585,-74.65473206263455,4.18424230733666,2015,04,04,00,53,26
17320,18245,57164904,2015-04-04 00:08:31,-76.4918012,3.5788027000000002,Bogota COL,-74.03004287,4.7212118,Bogota Bogota COL,111.0,969,-76.51110787003213,3.5950802417598027,-74.22253303502151,4.282038647965294,2015,04,04,00,08,31
18721,19715,2165561756,2015-04-04 00:48:13,-75.2031714,4.4550739,Bogota Bogota COL,-74.1279215,4.5962226,Medellin Antioquia COL,113.0,969,-75.2436355128686,4.478220611342182,-74.22253303502151,4.282038647965294,2015,04,04,00,48,13
14921,15709,2384295391,2015-04-04 00:30:40,-75.5563888,6.289491,Bogota Bogota COL,-74.2340153,4.7082434,Bogota Bogota COL,993.0,601,-75.5963807304863,6.268681718686395,-74.22939735785175,4.677094242905014,2015,04,04,00,30,40
18153,19122,539300013,2015-04-04 00:21:51,-74.0012855,5.0327255,Bucaramanga Santander COL,-75.6427748,6.1608764,Bogota Bogota COL,659.0,1056,-74.00283819152929,5.060877493851309,-75.64363213511491,6.138750491541997,2015,04,04,00,21,51
18729,19724,325234630,2015-04-04 00:54:44,-74.08431440000001,4.7523964,Pereira Risaralda COL,-75.69812437,4.52340369,Medellin Antioquia COL,969.0,287,-74.22253303502151,4.282038647965294,-75.71888712424135,4.488297554888304,2015,04,04,00,54,44
13852,14583,398301877,2015-04-04 00:08:11,-75.1967477,4.4404363,Bogota Bogota COL,-74.19642059999998,4.5818149,Medellin Antioquia COL,113.0,630,-75.2436355128686,4.478220611342182,-74.23992739288482,4.507788126321032,2015,04,04,00,08,11
13850,14581,72900158,2015-04-04 00:35:06,-74.06820975,4.70996651,Norte de Santander COL,-73.8487547,7.0556587,Bogota Bogota COL,969.0,192,-74.22253303502151,4.282038647965294,-73.81662468288279,7.025813343710894,2015,04,04,00,35,06
17309,18234,462331639,2015-04-04 00:45:36,-74.11641055,4.49212775,Monteria Cordoba COL,-75.2818085,2.9116185000000003,Bogota Bogota COL,969.0,477,-74.22253303502151,4.282038647965294,-75.29692926897057,3.035986213792796,2015,04,04,00,45,36
14942,15730,2535945232,2015-04-04 00:39:44,-73.6379255,4.132685100000001,Bogota Bogota COL,-73.8395859,7.0416020999999995,Cucuta Norte de Santander COL,403.0,192,-73.46847854559837,4.110928857380912,-73.81662468288279,7.025813343710894,2015,04,04,00,39,44
17609,18547,59254917,2015-04-04 00:28:24,-74.1918459,4.5887687999999995,Bogota Bogota COL,-76.4848254,3.446569,Bogota Bogota COL,630.0,71,-74.23992739288482,4.507788126321032,-76.58320023625186,3.410623389208069,2015,04,04,00,28,24
13837,14568,855716311,2015-04-04 00:38:53,-74.22916509999999,4.711343599999999,Pereira Risaralda COL,-75.61980809999999,6.2796456,Manizales Caldas COL,601.0,993,-74.22939735785175,4.677094242905014,-75.5963807304863,6.268681718686395,2015,04,04,00,38,53
16524,17409,1129923944,2015-04-04 00:15:28,-75.54985479999999,6.2988254,Bogota Bogota COL,-75.4343767,6.0227843,Ibague Tolima COL,993.0,1055,-75.5963807304863,6.268681718686395,-75.4340770069483,5.984609135852993,2015,04,04,00,15,28
17298,18223,53146954,2015-04-04 00:22:59,-75.380526,6.130091999999999,Boyaca COL,-76.3073944,3.8889730000000005,Girardot Cundinamarca COL,1077.0,78,-75.40401807182653,6.149001744385033,-76.10263633854615,3.8559371479310585,2015,04,04,00,22,59
14957,15745,2771853977,2015-04-04 00:59:28,-75.1829937,4.4325496,Bogota Bogota COL,-75.664366,4.8456651,Ocana Norte de Santander COL,113.0,277,-75.2436355128686,4.478220611342182,-75.6725524529833,4.840545087685683,2015,04,04,00,59,28
14958,15746,748016754,2015-04-04 00:10:54,-75.6101989,6.2376800999999995,Bogota Bogota COL,-74.07129885,4.6395945,Bogota COL,993.0,969,-75.5963807304863,6.268681718686395,-74.22253303502151,4.282038647965294,2015,04,04,00,10,54
13802,14531,122553883,2015-04-04 00:27:25,-74.1181703,4.6013949,Medellin Antioquia COL,-75.21256070000001,4.4355047999999995,Quibdo Choco COL,969.0,113,-74.22253303502151,4.282038647965294,-75.2436355128686,4.478220611342182,2015,04,04,00,27,25
16534,17421,259333745,2015-04-04 00:07:01,-75.4892454,5.054595099999999,Bogota Bogota COL,-73.8499838,7.0815989,Medellin Antioquia COL,773.0,192,-75.50286825151855,5.0741009147754434,-73.81662468288279,7.025813343710894,2015,04,04,00,07,01
13787,14515,127291960,2015-04-04 00:55:07,-75.39498833,9.302545,Bogota Bogota COL,-73.5157499,9.2910107,Bogota Bogota COL,160.0,698,-75.44161534197444,9.324871476437524,-73.48304498348917,9.240506505620774,2015,04,04,00,55,07
13784,14510,2178814371,2015-04-04 00:39:56,-75.82931333,4.33093,Medellin Antioquia COL,-75.89489420000001,8.7549773,Bucaramanga Santander COL,80.0,660,-75.84082273762921,4.30720385562347,-75.9688997290892,8.604428643067479,2015,04,04,00,39,56
13783,14509,3041631467,2015-04-04 00:14:58,-74.0738193,4.6369996,Cali Valle del Cauca COL,-74.1432933,4.5630968,Medellin Antioquia COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,04,00,14,58
