,Unnamed: 0,UserID,created_at,Longitude,Latitude,Location,New_Long,New_Lat,New_Loc,Old Region,New Region,Old_Region_Long,Old_Region_Lat,New_Region_Long,New_Region_Lat,Year,Month,Day,Hour,Minute,Second
4449,4673,558275482,2015-04-01 05:47:48,-75.16760688,4.43609043,Bogota Bogota COL,-72.46858714,7.89977286,Bogota Bogota COL,113.0,299,-75.2436355128686,4.478220611342182,-72.4771775980177,8.077703944981124,2015,04,01,05,47,48
3949,4141,237099120,2015-04-01 05:01:16,-74.14533759999999,4.6239862,Medellin Antioquia COL,-75.58902945,6.17731107,Medellin Antioquia COL,969.0,1039,-74.22253303502151,4.282038647965294,-75.53948701836117,6.148782034613276,2015,04,01,05,01,16
3947,4139,155042003,2015-04-01 05:21:58,-74.09179759999999,4.6815078,Bogota COL,-73.12127579999999,7.137892,Cucuta Norte de Santander COL,969.0,186,-74.22253303502151,4.282038647965294,-73.10826300553325,7.164240043543232,2015,04,01,05,21,58
4273,4483,269830240,2015-04-01 05:09:32,-75.5144761,5.0620772,Bogota Bogota COL,-74.0888997,4.6727463,Bogota Bogota COL,773.0,969,-75.50286825151855,5.0741009147754434,-74.22253303502151,4.282038647965294,2015,04,01,05,09,32
1566,1652,1358473940,2015-04-01 05:54:52,-72.391423,5.3323487,Antioquia COL,-75.704696,4.8210651,Cali Valle del Cauca COL,45.0,273,-72.26145643416706,5.236871239865877,-75.65507420680916,4.784885575908646,2015,04,01,05,54,52
5703,5995,127914514,2015-04-01 05:14:21,-74.218509,4.5858913,Bogota Bogota COL,-75.5961989,6.2823207000000005,Antioquia COL,630.0,993,-74.23992739288482,4.507788126321032,-75.5963807304863,6.268681718686395,2015,04,01,05,14,21
5695,5986,95669224,2015-04-01 05:46:51,-74.1236361,4.7252474,Girardot Cundinamarca COL,-74.15975970000001,4.693981099999999,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,01,05,46,51
1587,1674,527542386,2015-04-01 05:07:57,-74.1753605,4.6358478,Bogota Bogota COL,-74.142576,4.581638900000001,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,01,05,07,57
1594,1683,1697160798,2015-04-01 05:00:30,-75.6729398,9.2386196,Cali Valle del Cauca COL,-75.59348,6.1653877,Sogamoso Boyaca COL,672.0,1039,-75.63891302181847,9.257958943500512,-75.53948701836117,6.148782034613276,2015,04,01,05,00,30
1606,1695,354043121,2015-04-01 05:41:37,-75.89258259999998,2.3915123,Bogota Bogota COL,-74.0904912,4.5523422,Bogota Bogota COL,494.0,969,-76.00899886100859,2.327936408288678,-74.22253303502151,4.282038647965294,2015,04,01,05,41,37
5689,5980,285291531,2015-04-01 05:35:21,-75.6521845,6.1786665,Medellin Antioquia COL,-75.59413334,6.24187713,Bogota Bogota COL,993.0,993,-75.5963807304863,6.268681718686395,-75.5963807304863,6.268681718686395,2015,04,01,05,35,21
1623,1712,421082546,2015-04-01 05:49:18,-75.699603,4.5048687,Medellin Antioquia COL,-73.031133,6.908642599999999,Bogota Bogota COL,287.0,246,-75.71888712424135,4.488297554888304,-73.01230348251966,6.951168600800344,2015,04,01,05,49,18
3908,4098,1403990684,2015-04-01 05:04:21,-74.1558991,4.6685057,Bogota Bogota COL,-74.05351126,4.75679807,Cucuta Norte de Santander COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,01,05,04,21
519,546,335715222,2015-04-01 05:14:03,-76.5804033,2.4849106,Armenia Quindio COL,-74.0977187,4.7115715,Cali Valle del Cauca COL,715.0,969,-76.57848404395341,2.4426953998228957,-74.22253303502151,4.282038647965294,2015,04,01,05,14,03
5675,5966,279281167,2015-04-01 05:16:53,-74.1527845,4.6308474,Bogota COL,-74.1616556,4.597753400000001,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,01,05,16,53
4279,4489,3049930456,2015-04-01 05:28:55,-75.290472,2.9265357999999995,Bogota Bogota COL,-75.59617740000002,6.2823047,Bucaramanga Santander COL,477.0,993,-75.29692926897057,3.035986213792796,-75.5963807304863,6.268681718686395,2015,04,01,05,28,55
1640,1729,1441914361,2015-04-01 05:26:45,-75.735529,4.796379099999999,Pereira Risaralda COL,-74.07668632,4.85053842,Tunja Boyaca COL,273.0,559,-75.65507420680916,4.784885575908646,-74.03792257376774,4.867603154212247,2015,04,01,05,26,45
5663,5952,379371624,2015-04-01 05:58:00,-74.143608,4.6779060999999995,Ibague Tolima COL,-76.075331,4.3983235999999994,San Martin Meta COL,969.0,112,-74.22253303502151,4.282038647965294,-76.02467084493352,4.355294094796676,2015,04,01,05,58,00
1660,1751,240450755,2015-04-01 05:19:18,-75.610401,6.1780982,Bogota Bogota COL,-75.4834414,5.0611692999999995,Bogota Bogota COL,1051.0,773,-75.61340139575776,6.17683217611409,-75.50286825151855,5.0741009147754434,2015,04,01,05,19,18
5649,5936,287383635,2015-04-01 05:09:05,-76.653239,5.6812835999999995,Bogota Bogota COL,-74.0978866,4.596601799999999,Bogota Bogota COL,514.0,969,-76.64983507832616,5.983291886261583,-74.22253303502151,4.282038647965294,2015,04,01,05,09,05
1674,1766,2947085271,2015-04-01 05:56:48,-74.1928444,4.634597599999999,Bucaramanga Santander COL,-74.10243759999999,4.7586124000000005,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,01,05,56,48
1678,1771,560008514,2015-04-01 05:11:00,-75.63605567,6.08678627,Bogota COL,-74.12028277,4.59616405,Bogota Bogota COL,1019.0,969,-75.6278434655035,6.050684074410555,-74.22253303502151,4.282038647965294,2015,04,01,05,11,00
4728,4970,887296969,2015-04-01 05:22:14,-74.2416478,4.5677986,Bucaramanga Santander COL,-74.1370577,4.6826063,Medellin Antioquia COL,630.0,969,-74.23992739288482,4.507788126321032,-74.22253303502151,4.282038647965294,2015,04,01,05,22,14
3875,4065,1250120461,2015-04-01 05:13:35,-75.51407259999999,5.0404237,Pereira Risaralda COL,-74.0856895,4.6855074,Bogota Bogota COL,798.0,969,-75.45356891927017,4.925940516541658,-74.22253303502151,4.282038647965294,2015,04,01,05,13,35
1545,1629,128073662,2015-04-01 05:46:01,-74.1658868,4.589097799999999,Boyaca COL,-75.8977878,8.7628477,Ibague Tolima COL,969.0,660,-74.22253303502151,4.282038647965294,-75.9688997290892,8.604428643067479,2015,04,01,05,46,01
3869,4059,391661353,2015-04-01 05:05:22,-74.11388559999999,4.7292157,Valle del Cauca COL,-75.40612229999999,9.3064537,Neiva Huila COL,969.0,160,-74.22253303502151,4.282038647965294,-75.44161534197444,9.324871476437524,2015,04,01,05,05,22
1543,1627,118479656,2015-04-01 05:45:49,-75.6583395,5.1066055,Bogota Bogota COL,-74.00437914,5.03466424,Bogota Bogota COL,773.0,659,-75.50286825151855,5.0741009147754434,-74.00283819152929,5.060877493851309,2015,04,01,05,45,49
5710,6003,1917386419,2015-04-01 05:39:23,-75.5713482,6.306247,Neiva Huila COL,-73.78640899999999,7.2451636,Medellin Antioquia COL,993.0,250,-75.5963807304863,6.268681718686395,-73.74796634102378,7.6612834196940875,2015,04,01,05,39,23
5779,6076,379304310,2015-04-01 05:59:13,-75.5864092,6.2431777,Medellin Antioquia COL,-75.4745295,5.0588835,Bogota Bogota COL,993.0,773,-75.5963807304863,6.268681718686395,-75.50286825151855,5.0741009147754434,2015,04,01,05,59,13
1404,1482,1723885267,2015-04-01 05:23:27,-75.6240547,6.16657877,Cordoba COL,-73.63552990000001,4.1448561,Bogota Bogota COL,1051.0,403,-75.61340139575776,6.17683217611409,-73.46847854559837,4.110928857380912,2015,04,01,05,23,27
4670,4904,548647282,2015-04-01 05:26:35,-75.67709,4.541995,Bogota Bogota COL,-74.0339051,4.7660136,Cucuta Norte de Santander COL,287.0,969,-75.71888712424135,4.488297554888304,-74.22253303502151,4.282038647965294,2015,04,01,05,26,35
4672,4906,182601371,2015-04-01 05:11:21,-75.5522661,6.2892013,Bogota Bogota COL,-73.13766609999999,6.5607923999999995,Bogota Bogota COL,993.0,255,-75.5963807304863,6.268681718686395,-73.1208073978431,6.56515743102068,2015,04,01,05,11,21
3976,4168,238036741,2015-04-01 05:35:09,-74.10295009999999,4.754702,Bogota Bogota COL,-75.2665005,6.137520200000001,Tulua Valle del Cauca COL,969.0,1096,-74.22253303502151,4.282038647965294,-75.23854173436352,6.1240261169617725,2015,04,01,05,35,09
