,Unnamed: 0,UserID,created_at,Longitude,Latitude,Location,New_Long,New_Lat,New_Loc,Old Region,New Region,Old_Region_Long,Old_Region_Lat,New_Region_Long,New_Region_Lat,Year,Month,Day,Hour,Minute,Second
2601,2725,591136718,2015-04-02 00:26:44,-73.3560126,5.5464722,Boyaca COL,-73.36160449,5.53283025,Medellin Antioquia COL,800.0,800,-73.37608770738173,5.517318046690576,-73.37608770738173,5.517318046690576,2015,04,02,00,26,44
1137,1195,2787612058,2015-04-02 00:04:39,-74.1323566,4.6183025,Bogota Bogota COL,-75.63073309999999,6.1694723,Cali Valle del Cauca COL,969.0,1051,-74.22253303502151,4.282038647965294,-75.61340139575776,6.17683217611409,2015,04,02,00,04,39
6186,6502,603825536,2015-04-02 00:04:15,-75.7103608,4.820022499999999,Bogota Bogota COL,-74.1391212,4.6374607,Bogota Bogota COL,273.0,969,-75.65507420680916,4.784885575908646,-74.22253303502151,4.282038647965294,2015,04,02,00,04,15
1126,1184,303443893,2015-04-02 00:08:26,-74.060519,4.695704900000001,Norte de Santander COL,-76.55459920000001,3.4071205,Ibague Tolima COL,969.0,71,-74.22253303502151,4.282038647965294,-76.58320023625186,3.410623389208069,2015,04,02,00,08,26
1124,1182,2870006677,2015-04-02 00:09:48,-72.47000030000001,6.449777200000001,Cali Valle del Cauca COL,-75.4455035,8.953762199999998,Bogota Bogota COL,867.0,680,-72.46347536634504,6.443426929609161,-75.41642657972284,8.796330141522844,2015,04,02,00,09,48
1118,1175,1724092838,2015-04-02 00:44:03,-75.61010300000001,6.2592115,Bogota Bogota COL,-74.1084829,4.734011799999999,Bucaramanga Santander COL,993.0,969,-75.5963807304863,6.268681718686395,-74.22253303502151,4.282038647965294,2015,04,02,00,44,03
1106,1162,3087729553,2015-04-02 00:52:35,-72.6330923,2.5592731,Manizales Caldas COL,-74.05193940000001,4.719246,Tunja Boyaca COL,6.0,969,-72.0780561294368,2.496968112038786,-74.22253303502151,4.282038647965294,2015,04,02,00,52,35
1101,1156,1040983382,2015-04-02 00:00:54,-75.1809933,4.434719,Bogota Bogota COL,-74.05031837,4.7154644999999995,Bogota COL,113.0,969,-75.2436355128686,4.478220611342182,-74.22253303502151,4.282038647965294,2015,04,02,00,00,54
3341,3514,779323657,2015-04-02 00:59:31,-76.307016,3.5239593,Medellin Antioquia COL,-74.1299626,4.6296856,Pereira Risaralda COL,97.0,969,-76.22147025944486,3.5832152427392994,-74.22253303502151,4.282038647965294,2015,04,02,00,59,31
3347,3520,234551599,2015-04-02 00:36:38,-74.0813543,4.6500311,Medellin Antioquia COL,-73.620275,8.310234,Bogota Bogota COL,969.0,691,-74.22253303502151,4.282038647965294,-73.62402151897787,8.247901567153633,2015,04,02,00,36,38
3351,3524,183512685,2015-04-02 00:03:10,-75.50624640000001,6.348927,Manizales Caldas COL,-74.0962895,4.5606054,Cucuta Norte de Santander COL,1033.0,969,-75.49424234475836,6.363577086513374,-74.22253303502151,4.282038647965294,2015,04,02,00,03,10
3353,3526,335063110,2015-04-02 00:24:07,-75.6030464,6.2087287,Bogota Bogota COL,-75.73673829999998,4.7949638,Bogota COL,993.0,273,-75.5963807304863,6.268681718686395,-75.65507420680916,4.784885575908646,2015,04,02,00,24,07
6192,6508,1210054736,2015-04-02 00:01:29,-73.16895720000001,7.06239182,Pereira Risaralda COL,-75.6639007,4.838344599999999,Manizales Caldas COL,221.0,277,-73.31784642682109,7.050150983980759,-75.6725524529833,4.840545087685683,2015,04,02,00,01,29
1062,1115,150031503,2015-04-02 00:19:42,-73.85906109999999,7.068649300000001,Bogota Bogota COL,-74.25121468,4.83465678,Armenia Quindio COL,192.0,568,-73.81662468288279,7.025813343710894,-74.23351537373546,4.883850250089012,2015,04,02,00,19,42
3367,3540,85475621,2015-04-02 00:52:22,-73.10538341,7.07177287,Medellin Antioquia COL,-73.8273533,7.052348599999999,Bogota COL,218.0,192,-73.06827337011991,7.08294837631658,-73.81662468288279,7.025813343710894,2015,04,02,00,52,22
5778,6075,2512725398,2015-04-02 00:01:04,-73.94620390000001,4.9055222,Bogota Bogota COL,-72.5263654,7.9163162,Bogota Bogota COL,631.0,299,-73.96315800788571,4.8930401711670015,-72.4771775980177,8.077703944981124,2015,04,02,00,01,04
3381,3554,289012513,2015-04-02 00:37:45,-74.161821,4.643357,Putumayo COL,-75.7002476,4.8082956,Manizales Caldas COL,969.0,273,-74.22253303502151,4.282038647965294,-75.65507420680916,4.784885575908646,2015,04,02,00,37,45
3384,3557,296466746,2015-04-02 00:38:59,-75.55385629999999,6.2815044,Cundinamarca COL,-72.4963422,7.905066199999999,Bogota Bogota COL,993.0,299,-75.5963807304863,6.268681718686395,-72.4771775980177,8.077703944981124,2015,04,02,00,38,59
