,Unnamed: 0,UserID,created_at,Longitude,Latitude,Location,New_Long,New_Lat,New_Loc,Old Region,New Region,Old_Region_Long,Old_Region_Lat,New_Region_Long,New_Region_Lat,Year,Month,Day,Hour,Minute,Second
52511,55214,227193933,2015-04-10 00:02:52,-74.0334453,4.74081733,Socorro Santander COL,-74.15516690000001,4.6444633,Campoalegre Huila COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,10,00,02,52
56857,59771,2521691592,2015-04-10 00:18:56,-74.1213257,4.706269799999999,Bogota Bogota COL,-74.0238338,4.9249316,Cali Valle del Cauca COL,969.0,554,-74.22253303502151,4.282038647965294,-74.036246942992,4.93442949297679,2015,04,10,00,18,56
56827,59741,2196061210,2015-04-10 00:28:31,-73.63456509999999,4.1342421,Cucuta Norte de Santander COL,-74.1130392,4.5088137999999995,Pereira Risaralda COL,403.0,969,-73.46847854559837,4.110928857380912,-74.22253303502151,4.282038647965294,2015,04,10,00,28,31
56818,59732,1700052150,2015-04-10 00:59:59,-75.4060872,9.306613699999998,Bogota Bogota COL,-74.0852558,4.755458999999999,Bogota Bogota COL,160.0,969,-75.44161534197444,9.324871476437524,-74.22253303502151,4.282038647965294,2015,04,10,00,59,59
56802,59714,816287773,2015-04-10 00:32:17,-76.2449134,3.4224214,Bogota Bogota COL,-73.8395793,7.041615400000001,Bogota Bogota COL,98.0,192,-76.18147364034618,3.4211204186724444,-73.81662468288279,7.025813343710894,2015,04,10,00,32,17
56796,59708,720582764,2015-04-10 00:08:12,-74.0820311,4.697356299999999,Ibague Tolima COL,-74.0599838,4.6580430999999995,Socorro Santander COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,10,00,08,12
56785,59697,825816048,2015-04-10 00:51:14,-75.488153,5.4066151,Bogota Bogota COL,-73.1202646,7.072731699999999,Bogota Bogota COL,793.0,186,-75.40656816693732,5.343947662654557,-73.10826300553325,7.164240043543232,2015,04,10,00,51,14
56781,59693,57164023,2015-04-10 00:44:50,-74.1591763,4.6142945,Medellin Antioquia COL,-73.12409184,7.09958363,Bogota Bogota COL,969.0,186,-74.22253303502151,4.282038647965294,-73.10826300553325,7.164240043543232,2015,04,10,00,44,50
56757,59668,2693228470,2015-04-10 00:43:47,-75.639174,4.6165641,Pereira Risaralda COL,-74.03448194,4.70891313,Bogota Bogota COL,290.0,969,-75.66835753697072,4.607251948968327,-74.22253303502151,4.282038647965294,2015,04,10,00,43,47
56866,59780,2657936706,2015-04-10 00:32:14,-74.100484,4.715631299999999,Bogota Bogota COL,-74.12816959999999,4.63552755,Quibdo Choco COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,10,00,32,14
56740,59649,240279904,2015-04-10 00:23:48,-74.11726209999999,4.7045085,Barrancabermeja Santander COL,-75.5127367,5.0491282,Valle del Cauca COL,969.0,798,-74.22253303502151,4.282038647965294,-75.45356891927017,4.925940516541658,2015,04,10,00,23,48
53844,56609,1012516176,2015-04-10 00:51:03,-75.6847813,4.5304771,Bogota Bogota COL,-74.08709300000001,4.6492207,Bogota Bogota COL,287.0,969,-75.71888712424135,4.488297554888304,-74.22253303502151,4.282038647965294,2015,04,10,00,51,03
56719,59626,23876372,2015-04-10 00:45:08,-75.61054784,6.14896248,Bogota Bogota COL,-74.1649094,4.6046917999999994,Bogota COL,1079.0,969,-75.6104123483012,6.1383999295131835,-74.22253303502151,4.282038647965294,2015,04,10,00,45,08
53851,56617,162577704,2015-04-10 00:34:30,-75.67943864,4.79258306,Valle del Cauca COL,-74.06087941,4.64487484,Medellin Antioquia COL,273.0,969,-75.65507420680916,4.784885575908646,-74.22253303502151,4.282038647965294,2015,04,10,00,34,30
