,Name,Longitude,Latitude
0,0,-70.46295795889267,1.0128988055854506
1,1,-71.39468524208021,1.1285775571585646
2,2,-71.03902840143954,0.19861374063165727
3,3,-69.86483382671969,-0.6685127407702964
4,4,-70.56553115289034,1.6206468226428115
5,5,-69.6241501695946,0.8295707321535986
6,6,-72.07805612943679,2.496968112038786
7,7,-72.98027030842795,1.5551421666776832
8,8,-71.49501806568114,2.0467065505169444
9,9,-72.05269918586868,1.3262990798387193
10,10,-68.48457464810147,3.1958778957983043
11,11,-69.27188754797191,3.217514529771762
12,12,-70.40019975826218,2.8431895818837347
13,13,-67.34203776163335,2.050448149312672
14,14,-68.26494186052841,2.4878090084789903
15,15,-66.99304707011615,1.4191391698868188
16,16,-67.58397146066434,3.4413493528404047
17,17,-69.1726683080959,2.0610611148785836
18,18,-69.86605037652362,2.416693446745228
19,19,-70.03685915457629,-3.6171136905942944
20,20,-72.6472244047824,-2.0059139210405874
21,21,-72.91637696057822,-1.288506323857689
22,22,-69.94186590903445,-1.2014327906407232
23,23,-71.17805391890317,-0.1191109425658965
24,24,-71.24442595614292,-0.733220203049882
25,25,-73.68268088446521,-0.9593461412113982
26,26,-71.24454647069305,-1.9360650939788684
27,27,-70.50247320507432,-3.54476251163058
28,28,-71.8548603412317,-1.068820307661042
29,29,-70.01296165645525,-2.616101443127036
30,30,-81.37270341932731,13.35757501067826
31,31,-81.71135173464481,12.537557480393446
32,32,-76.63810719129378,1.1516541217403642
33,33,-76.96905596810839,1.2369070359310115
34,34,-76.93700505129203,0.7332940677170825
35,35,-76.26940012926252,0.4528006845539778
36,36,-76.49979240444588,0.6969102757386736
37,37,-75.89227229223246,0.7512201875116773
38,38,-74.98822778738244,0.07667527279565434
39,39,-76.91010754118005,1.236919481199152
40,40,-76.8496434454386,1.2140350783562326
41,41,-76.84534327637107,0.31250842387470357
42,42,-76.89448322716916,1.0679244248223938
43,43,-76.86498076644918,0.40309393963366347
44,44,-76.72750836916586,0.921544934251358
45,45,-72.26145643416706,5.236871239865877
46,46,-72.5471151611857,5.106536627663303
47,47,-72.86821296305777,5.238130902269347
48,48,-70.97874048153795,6.057295475056179
49,49,-72.34452038815533,6.190280353805321
50,50,-72.14151743982794,4.724700253813694
51,51,-72.8402656545363,4.85361104091686
52,52,-72.07235929704387,5.532064094932082
53,53,-71.56156381057139,4.910957051776563
54,54,-70.94058123268772,5.771510762461759
55,55,-71.88612227337418,5.6841459842497954
56,56,-72.7687346937011,5.277352206838913
57,57,-72.96885576183391,4.830806714608258
58,58,-72.19634059828994,6.048466404700861
59,59,-71.51505779193351,5.277434859930878
60,60,-72.20101128399352,5.880255979829656
61,61,-72.58520063595057,4.742789181925247
62,62,-71.24618931938156,5.35642701464505
63,63,-72.8036618551105,4.499806912509058
64,64,-70.48464514960395,6.793883512014503
65,65,-71.28403482489722,6.7912648692283994
66,66,-70.07222064626578,6.340426742450234
67,67,-71.80181234556326,6.68538415715318
68,68,-70.99844900906447,6.420497242753584
69,69,-71.89760347502033,6.91436017862938
70,70,-71.79123899063688,6.385163856227052
71,71,-76.58320023625186,3.4106233892080695
72,72,-75.78108600546474,4.6851987263401895
73,73,-76.16351279143214,4.1415339143587175
74,74,-76.0240594035186,4.79054367090373
75,75,-76.14240034664866,4.719364061252463
76,76,-76.3430250216374,4.36907844806197
77,77,-77.10869688040665,3.6486514508538335
78,78,-76.10263633854615,3.8559371479310585
79,79,-76.09592547602983,4.200649724005615
80,80,-75.8408227376292,4.30720385562347
81,81,-76.63411640294962,3.958035215253034
82,82,-76.37812860754917,3.3817439657614727
83,83,-75.91932900303104,4.710364249660415
84,84,-76.74083918757839,3.629821457993927
85,85,-76.06196854731056,4.929485821213717
86,86,-76.21890026773312,4.758896970119139
87,87,-76.19108003836303,3.6869821293718132
88,88,-76.27099018954559,4.537330342921052
89,89,-76.19478695300543,3.3000985115371293
90,90,-76.20213989369111,3.747658158896968
91,91,-76.28936891024696,3.7794337042021198
92,92,-76.6246604723029,3.2012294352902586
93,93,-76.58003570723204,3.6579006273621246
94,94,-76.10023135849036,4.537992294758624
95,95,-75.97707325932342,4.481229204664118
96,96,-75.94974555266509,4.59613258729911
97,97,-76.22147025944486,3.5832152427393
98,98,-76.18147364034618,3.4211204186724444
99,99,-76.55741148590133,3.81042514905144
100,100,-76.36297672224791,4.1070068910052555
101,101,-76.16140240859426,4.441881375824863
102,102,-76.2045787948255,3.976567643132256
103,103,-75.88799240467569,4.157086765541834
104,104,-76.08638879435733,4.643333884401301
105,105,-76.34200467917259,4.225410895496481
106,106,-76.06660610378862,4.03985785660484
107,107,-75.7822339262047,4.707821541580927
108,108,-76.22245413799803,4.610715696821984
109,109,-76.46869209171663,3.7552280560799716
110,110,-76.39357504195459,3.8982084092407376
111,111,-76.51110787003213,3.5950802417598027
112,112,-76.02467084493352,4.355294094796676
113,113,-75.2436355128686,4.478220611342181
114,114,-74.9415504757738,3.3945985014197504
115,115,-74.97137169489775,4.576153695686543
116,116,-74.80960766576112,4.82956863233656
117,117,-75.20199288081676,4.62447871187311
118,118,-74.86210497326587,5.016860023421401
119,119,-75.49882488476058,3.393908032529737
120,120,-75.48513050686736,4.4064797312046835
121,121,-74.73491551508889,4.130172345477405
122,122,-75.19469696839033,5.008077283889605
123,123,-75.59352675895275,3.753057930379242
124,124,-74.91563618815954,4.361556795909451
125,125,-75.15284214220105,3.7376583965178156
126,126,-74.67861967001173,3.9667662550087073
127,127,-74.76519915751507,3.6220542562989237
128,128,-74.90601030678019,4.16926350016044
