,Unnamed: 0,Old Region,New Region,Number,Old Longitude,Old Latitude,New Longitude,New Latitude
0,412,969.0,969,137,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294
1,413,969.0,993,25,-74.22253303502151,4.282038647965294,-75.5963807304863,6.268681718686395
2,74,113.0,969,23,-75.2436355128686,4.478220611342182,-74.22253303502151,4.282038647965294
3,444,993.0,969,22,-75.5963807304863,6.268681718686395,-74.22253303502151,4.282038647965294
4,351,969.0,113,18,-74.22253303502151,4.282038647965294,-75.2436355128686,4.478220611342182
5,172,287.0,969,17,-75.71888712424135,4.488297554888304,-74.22253303502151,4.282038647965294
6,22,71.0,969,15,-76.58320023625186,3.410623389208069,-74.22253303502151,4.282038647965294
7,265,630.0,969,13,-74.23992739288482,4.507788126321032,-74.22253303502151,4.282038647965294
8,321,773.0,969,13,-75.50286825151855,5.0741009147754434,-74.22253303502151,4.282038647965294
9,160,277.0,969,12,-75.6725524529833,4.840545087685683,-74.22253303502151,4.282038647965294
10,345,969.0,71,11,-74.22253303502151,4.282038647965294,-76.58320023625186,3.410623389208069
11,151,273.0,969,10,-75.65507420680916,4.784885575908646,-74.22253303502151,4.282038647965294
12,368,969.0,273,10,-74.22253303502151,4.282038647965294,-75.65507420680916,4.784885575908646
13,374,969.0,299,9,-74.22253303502151,4.282038647965294,-72.4771775980177,8.077703944981124
14,10,71.0,113,7,-76.58320023625186,3.410623389208069,-75.2436355128686,4.478220611342182
15,106,186.0,969,7,-73.10826300553325,7.164240043543232,-74.22253303502151,4.282038647965294
16,360,969.0,186,7,-74.22253303502151,4.282038647965294,-73.10826300553325,7.164240043543232
17,404,969.0,773,7,-74.22253303502151,4.282038647965294,-75.50286825151855,5.0741009147754434
18,420,969.0,1051,7,-74.22253303502151,4.282038647965294,-75.61340139575776,6.17683217611409
19,383,969.0,477,6,-74.22253303502151,4.282038647965294,-75.29692926897057,3.035986213792796
