,Unnamed: 0,UserID,created_at,Longitude,Latitude,Location,New_Long,New_Lat,New_Loc,Old Region,New Region,Old_Region_Long,Old_Region_Lat,New_Region_Long,New_Region_Lat,Year,Month,Day,Hour,Minute,Second
42011,44195,186609304,2015-04-08 00:03:14,-74.15181743,4.649853500000001,Neiva Huila COL,-73.3604641,5.5192071,Bogota Bogota COL,969.0,800,-74.22253303502151,4.282038647965294,-73.37608770738173,5.517318046690576,2015,04,08,00,03,14
45408,47767,3105675592,2015-04-08 00:25:58,-75.6717564,4.5433932,Bogota Bogota COL,-74.15187892,4.64977622,Bogota Bogota COL,287.0,969,-75.71888712424135,4.488297554888304,-74.22253303502151,4.282038647965294,2015,04,08,00,25,58
45092,47438,865589353,2015-04-08 00:37:36,-74.09706120000001,4.5692727,Bogota Bogota COL,-74.228603,4.583694,Bogota Bogota COL,969.0,630,-74.22253303502151,4.282038647965294,-74.23992739288482,4.507788126321032,2015,04,08,00,37,36
39955,42044,2244792172,2015-04-08 00:55:57,-74.1242053,4.5578234,Bogota Bogota COL,-74.1273604,4.6369393,Pereira Risaralda COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,08,00,55,57
44225,46523,474438917,2015-04-08 00:28:26,-72.93094659999998,5.7102218,Neiva Huila COL,-74.05453029,4.70220251,Medellin Antioquia COL,897.0,969,-72.86979636386104,5.675548653897322,-74.22253303502151,4.282038647965294,2015,04,08,00,28,26
42506,44715,231514049,2015-04-08 00:02:02,-72.5013735,7.8558535,Medellin Antioquia COL,-75.59488031,6.22270335,Bogota Bogota COL,320.0,993,-72.53392080949772,7.753994649033871,-75.5963807304863,6.268681718686395,2015,04,08,00,02,02
45088,47434,2292884451,2015-04-08 00:34:17,-74.08802934,4.68000148,Medellin Antioquia COL,-75.57951169,6.18934837,Ibague Tolima COL,969.0,993,-74.22253303502151,4.282038647965294,-75.5963807304863,6.268681718686395,2015,04,08,00,34,17
40790,42926,2241120626,2015-04-08 00:43:11,-72.64825909999999,7.3668918,Pereira Risaralda COL,-75.2507854,2.942073,Bucaramanga Santander COL,324.0,477,-72.67659541204858,7.36747877342671,-75.29692926897057,3.035986213792796,2015,04,08,00,43,11
43816,46093,2725343733,2015-04-08 00:49:28,-74.10046290000001,4.5874004,Monteria Cordoba COL,-74.1201033,4.7521224,Villavicencio Meta COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,08,00,49,28
39940,42028,2255808367,2015-04-08 00:06:04,-75.1930009,4.434382,Ibague Tolima COL,-75.6250226,6.156996599999999,Cali Valle del Cauca COL,113.0,1051,-75.2436355128686,4.478220611342182,-75.61340139575776,6.17683217611409,2015,04,08,00,06,04
40795,42931,2769465316,2015-04-08 00:34:47,-75.68175140000001,4.831819,Bogota Bogota COL,-75.6001854,6.218707900000001,Bogota Bogota COL,277.0,993,-75.6725524529833,4.840545087685683,-75.5963807304863,6.268681718686395,2015,04,08,00,34,47
43815,46092,1636447244,2015-04-08 00:58:57,-76.51475119999999,3.3726292,Bogota Bogota COL,-74.1788167,4.697845,Bogota Bogota COL,71.0,601,-76.58320023625186,3.410623389208069,-74.22939735785175,4.677094242905014,2015,04,08,00,58,57
42538,44747,385381253,2015-04-08 00:16:25,-75.1999431,4.460096599999999,Cali Valle del Cauca COL,-74.12160949999999,4.719526,Bogota Bogota COL,113.0,969,-75.2436355128686,4.478220611342182,-74.22253303502151,4.282038647965294,2015,04,08,00,16,25
39929,42017,1382876821,2015-04-08 00:30:18,-72.395798,5.3483095,Cordoba COL,-74.1637583,4.620601799999999,Pereira Risaralda COL,45.0,969,-72.26145643416706,5.236871239865877,-74.22253303502151,4.282038647965294,2015,04,08,00,30,18
42549,44759,2167157539,2015-04-08 00:29:50,-74.11120179999999,4.5489896,Valle del Cauca COL,-74.78625298,9.79407013,Ibague Tolima COL,969.0,449,-74.22253303502151,4.282038647965294,-74.58514444905704,9.769763382074473,2015,04,08,00,29,50
45093,47440,2350776469,2015-04-08 00:04:03,-74.79974,4.3142472000000005,Bogota Bogota COL,-73.12434329999999,7.1017211,Bogota Bogota COL,579.0,186,-74.81659207461449,4.35003584377921,-73.10826300553325,7.164240043543232,2015,04,08,00,04,03
42553,44763,2369811517,2015-04-08 00:37:11,-74.1120158,4.695269799999999,Bogota COL,-74.2247504,4.7218601,Ibague Tolima COL,969.0,601,-74.22253303502151,4.282038647965294,-74.22939735785175,4.677094242905014,2015,04,08,00,37,11
40805,42941,788376727,2015-04-08 00:33:50,-76.485486,3.4784495000000004,Bogota Bogota COL,-76.48314029999999,3.4633288,Ibague Tolima COL,71.0,71,-76.58320023625186,3.410623389208069,-76.58320023625186,3.410623389208069,2015,04,08,00,33,50
40806,42942,827259871,2015-04-08 00:14:19,-75.67640829999999,4.8186714,Bogota COL,-75.6644783,4.800045,Bogota Bogota COL,277.0,273,-75.6725524529833,4.840545087685683,-75.65507420680916,4.784885575908646,2015,04,08,00,14,19
44836,47164,193086025,2015-04-08 00:05:02,-74.16733029999999,4.6439170999999995,Medellin Antioquia COL,-74.116017,4.6084084,Ibague Tolima COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,08,00,05,02
42572,44784,2527872817,2015-04-08 00:44:37,-74.10175459999999,4.495197,Medellin Antioquia COL,-74.12411329999999,4.5820601,Cali Valle del Cauca COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,08,00,44,37
42576,44788,2967178845,2015-04-08 00:02:02,-71.77032209999999,6.1491882,Pereira Risaralda COL,-74.1277994,4.605631,Bogota Bogota COL,48.0,969,-70.97874048153795,6.057295475056178,-74.22253303502151,4.282038647965294,2015,04,08,00,02,02
39886,41973,1473257036,2015-04-08 00:01:55,-75.80534809999999,4.832538400000001,Medellin Antioquia COL,-74.1990542,4.5792193,Pamplona Norte de Santander COL,273.0,630,-75.65507420680916,4.784885575908646,-74.23992739288482,4.507788126321032,2015,04,08,00,01,55
39885,41972,3047892966,2015-04-08 00:11:48,-75.618041,4.8583481,Pereira Risaralda COL,-74.19283490000001,4.6346465,Cucuta Norte de Santander COL,285.0,969,-75.5460858568268,4.836444607682552,-74.22253303502151,4.282038647965294,2015,04,08,00,11,48
44220,46517,566613632,2015-04-08 00:24:23,-74.0044791,5.0265515999999995,Bogota Bogota COL,-74.1267314,4.5879735,Narino COL,659.0,969,-74.00283819152929,5.060877493851309,-74.22253303502151,4.282038647965294,2015,04,08,00,24,23
44697,47014,113409342,2015-04-08 00:35:18,-74.16621059999999,4.595892,Bogota Bogota COL,-75.2026139,4.4533457,Bogota Bogota COL,969.0,113,-74.22253303502151,4.282038647965294,-75.2436355128686,4.478220611342182,2015,04,08,00,35,18
39880,41966,426286956,2015-04-08 00:06:56,-74.11099,4.5653178,Bogota Bogota COL,-74.0963388,4.605265599999999,Bogota Bogota COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,08,00,06,56
42586,44798,1382876821,2015-04-08 00:28:42,-72.39576729999999,5.3482866,Bogota Bogota COL,-75.615162,6.1498664000000005,Bogota Bogota COL,45.0,1079,-72.26145643416706,5.236871239865877,-75.6104123483012,6.1383999295131835,2015,04,08,00,28,42
42587,44799,221588904,2015-04-08 00:52:37,-75.64345959999999,4.5249231,Villavicencio Meta COL,-74.08177222,4.73828868,Monteria Cordoba COL,289.0,969,-75.68060390834364,4.4539123249439,-74.22253303502151,4.282038647965294,2015,04,08,00,52,37
41580,43747,118920290,2015-04-08 00:55:08,-77.28602640000001,1.2322773999999999,Medellin Antioquia COL,-74.082,4.60987,Bogota Bogota COL,339.0,969,-77.19673084145515,1.03824745785397,-74.22253303502151,4.282038647965294,2015,04,08,00,55,08
44440,46747,273606535,2015-04-08 00:07:11,-75.4015606,7.5837859,Medellin Antioquia COL,-75.5643375,6.2487974,Valle del Cauca COL,1101.0,993,-75.49650226731575,7.493110906643096,-75.5963807304863,6.268681718686395,2015,04,08,00,07,11
41598,43765,457140111,2015-04-08 00:17:08,-74.06603620000001,4.651774,Cucuta Norte de Santander COL,-74.3747865,5.3171595,Cali Valle del Cauca COL,969.0,593,-74.22253303502151,4.282038647965294,-74.41401694137869,5.3468760382486105,2015,04,08,00,17,08
42472,44678,318813393,2015-04-08 00:03:57,-75.66503859999999,4.8370207999999995,Manizales Caldas COL,-74.74502729999999,5.1983251,Cali Valle del Cauca COL,277.0,134,-75.6725524529833,4.840545087685683,-74.80020549433806,5.1790736389373535,2015,04,08,00,03,57
42469,44675,1129923944,2015-04-08 00:58:47,-75.5498395,6.2988200999999995,Medellin Antioquia COL,-74.10503890000001,4.6854227,Medellin Antioquia COL,993.0,969,-75.5963807304863,6.268681718686395,-74.22253303502151,4.282038647965294,2015,04,08,00,58,47
44832,47160,2255808367,2015-04-08 00:11:20,-75.19296899999999,4.4344028,Bogota Bogota COL,-74.2156539,4.6077163,Bucaramanga Santander COL,113.0,630,-75.2436355128686,4.478220611342182,-74.23992739288482,4.507788126321032,2015,04,08,00,11,20
42355,44554,2909263696,2015-04-08 00:36:18,-74.2263109,4.7275222,Bogota Bogota COL,-74.1273588,4.7011605,Medellin Antioquia COL,601.0,969,-74.22939735785175,4.677094242905014,-74.22253303502151,4.282038647965294,2015,04,08,00,36,18
41162,43313,253388331,2015-04-08 00:55:08,-74.064099,4.656561099999999,Bucaramanga Santander COL,-75.76035132,4.47376742,Bogota Bogota COL,969.0,287,-74.22253303502151,4.282038647965294,-75.71888712424135,4.488297554888304,2015,04,08,00,55,08
45517,47878,747533131,2015-04-08 00:29:03,-74.1523553,4.6503034,Bogota Bogota COL,-74.1294905,4.6076073,Medellin Antioquia COL,969.0,969,-74.22253303502151,4.282038647965294,-74.22253303502151,4.282038647965294,2015,04,08,00,29,03
42360,44559,405130109,2015-04-08 00:47:34,-74.1464551,4.5659248,Cucuta Norte de Santander COL,-75.5810497,6.166068599999999,Bogota Bogota COL,969.0,1039,-74.22253303502151,4.282038647965294,-75.53948701836117,6.148782034613276,2015,04,08,00,47,34
43844,46122,368625071,2015-04-08 00:35:53,-74.1906281,4.6128038,Medellin Antioquia COL,-75.7446296,4.6277870000000005,Barrancabermeja Santander COL,969.0,297,-74.22253303502151,4.282038647965294,-75.78588531310669,4.6133421983338385,2015,04,08,00,35,53
