,Old Region,New Region,Number
316,773.0,423,1
317,773.0,572,1
318,773.0,773,1
319,773.0,780,1
320,773.0,793,1
321,773.0,969,13
322,773.0,993,3
323,773.0,1039,2
324,773.0,1078,1
325,780.0,139,1
326,780.0,969,1
327,798.0,113,1
328,798.0,969,1
329,798.0,1024,1
330,800.0,563,1
331,800.0,969,3
332,804.0,113,1
333,816.0,176,1
334,831.0,969,1
335,865.0,273,1
336,865.0,831,1
337,879.0,186,1
338,889.0,969,1
339,897.0,97,1
340,897.0,598,1
341,910.0,192,1
342,969.0,6,1
343,969.0,45,1
344,969.0,48,1
345,969.0,71,11
346,969.0,77,1
347,969.0,78,1
348,969.0,97,2
349,969.0,102,1
350,969.0,112,1
351,969.0,113,18
352,969.0,133,1
353,969.0,137,1
354,969.0,142,1
355,969.0,151,1
356,969.0,153,1
357,969.0,157,1
358,969.0,160,1
359,969.0,171,1
360,969.0,186,7
361,969.0,190,2
362,969.0,192,5
363,969.0,218,2
364,969.0,221,2
365,969.0,246,1
366,969.0,255,2
367,969.0,263,2
368,969.0,273,10
369,969.0,277,4
370,969.0,285,3
371,969.0,287,4
372,969.0,289,2
373,969.0,295,1
374,969.0,299,9
375,969.0,324,1
376,969.0,335,2
377,969.0,338,1
378,969.0,339,2
379,969.0,403,4
380,969.0,404,1
381,969.0,414,1
382,969.0,421,1
383,969.0,477,6
384,969.0,498,1
385,969.0,514,3
386,969.0,548,1
387,969.0,554,1
388,969.0,559,2
389,969.0,572,4
390,969.0,574,3
391,969.0,579,1
392,969.0,601,1
393,969.0,604,1
394,969.0,630,5
395,969.0,659,1
396,969.0,660,2
397,969.0,670,1
398,969.0,673,1
399,969.0,680,1
400,969.0,691,1
401,969.0,709,1
402,969.0,715,2
403,969.0,742,1
404,969.0,773,7
405,969.0,777,1
406,969.0,798,2
407,969.0,800,2
408,969.0,821,1
409,969.0,831,1
410,969.0,853,1
411,969.0,897,1
412,969.0,969,137
413,969.0,993,25
414,969.0,1011,1
415,969.0,1017,1
416,969.0,1024,1
417,969.0,1027,1
418,969.0,1038,1
419,969.0,1039,4
420,969.0,1051,7
421,969.0,1056,3
422,969.0,1061,1
423,969.0,1079,1
424,993.0,71,2
425,993.0,91,1
426,993.0,113,4
427,993.0,139,1
428,993.0,186,3
429,993.0,192,2
430,993.0,246,1
431,993.0,273,1
432,993.0,287,1
433,993.0,289,1
434,993.0,299,2
435,993.0,323,1
436,993.0,403,1
437,993.0,449,1
438,993.0,477,1
439,993.0,501,1
440,993.0,514,1
441,993.0,574,1
442,993.0,660,1
443,993.0,773,2
444,993.0,969,22
445,993.0,993,5
446,993.0,1039,1
447,1009.0,969,2
448,1011.0,71,1
449,1011.0,83,1
450,1011.0,97,1
451,1011.0,113,2
452,1011.0,155,1
453,1011.0,263,1
454,1011.0,403,1
455,1011.0,969,5
456,1019.0,773,1
457,1019.0,800,1
458,1019.0,969,1
459,1019.0,1056,1
460,1024.0,800,1
461,1027.0,186,1
462,1027.0,969,2
463,1039.0,900,1
464,1039.0,969,3
465,1039.0,1039,1
466,1039.0,1051,1
467,1041.0,97,1
468,1043.0,1011,1
469,1048.0,113,1
470,1051.0,186,1
471,1051.0,273,1
472,1051.0,554,1
473,1051.0,559,1
474,1051.0,598,1
475,1051.0,969,4
476,1051.0,993,3
477,1051.0,1033,1
478,1051.0,1077,2
479,1052.0,273,1
480,1055.0,598,1
481,1077.0,969,1
482,1079.0,1102,1
483,1084.0,273,1
484,1096.0,660,1
485,1096.0,969,1
486,1098.0,853,1
487,1115.0,969,1
488,1117.0,71,1
